Date, Close/Last, Volume, Open, High, Low
02/04/2016, 368.5, N/A, 368.5, 368.5, 368.5
02/03/2016, 371, 143070, 371, 373.25, 370.25
02/02/2016, 372.5, 190795, 372.25, 373.75, 369
02/01/2016, 371.25, 129483, 371, 371.75, 367.75
01/29/2016, 372, 201077, 371, 372.5, 365
01/28/2016, 365.5, 166085, 365, 370.25, 365
01/27/2016, 369.25, 165294, 369, 371, 367.5
01/26/2016, 369.25, 156481, 368.75, 372, 367
01/25/2016, 369.75, 141452, 369.5, 372.5, 368
01/22/2016, 370.25, 154634, 369, 371.5, 366.5
01/21/2016, 367, 231438, 366.25, 372, 365.5
01/20/2016, 368.75, 180893, 368.5, 369.25, 365.25
01/19/2016, 367.75, 204664, 367.5, 369.5, 364
01/15/2016, 363.25, 169959, 363, 363.5, 356
01/14/2016, 358, 151882, 357.5, 360.25, 355.5
01/13/2016, 358, N/A, 358, 358, 358
01/12/2016, 356.75, 279985, 356, 363.75, 349.5
01/11/2016, 351.75, 160604, 351.75, 357.25, 349.5
01/08/2016, 357, 166521, 356.75, 357.75, 352.75
01/07/2016, 353, 137217, 353, 354.25, 348.5
01/06/2016, 353.25, 124631, 353.25, 354.75, 350.25
01/05/2016, 353, 131960, 353, 356, 351.75
01/04/2016, 351.5, 170742, 352, 360, 350.5
12/31/2015, 358.75, 68098, 358.25, 360.25, 357.5
12/30/2015, 50.5, 9444, 362.5, 363.75, 362.25
12/29/2015, 362.5, 112101, 361.5, 363, 357
12/28/2015, 361, 89773, 361, 365.5, 360.5
12/24/2015, 364.5, 51661, 365.5, 365.75, 363.5
12/23/2015, 365.5, 85671, 365, 367.75, 364.5
12/22/2015, 372, N/A, 372, 372, 372
12/21/2015, 372, 1843, 372, 373, 371.5
12/18/2015, 374.5, 170593, 374.5, 379.5, 372.75
12/17/2015, 374.25, 257355, 374.75, 375, 362.5
12/16/2015, 369.75, 148573, 370.25, 377.75, 369.25
12/15/2015, 377.25, 91641, 376.75, 379.5, 375.75
12/14/2015, 381.75, 903, 373.5, 381.75, 373.5
12/11/2015, 373, 2028, 378.5, 378.75, 372.75
12/10/2015, 377.25, 2543, 373.5, 379.25, 371.75
12/09/2015, 371.75, 3217, 371.75, 376.75, 368.5
12/08/2015, 370, 2947, 370.5, 371, 367.25
12/07/2015, 368.5, 3271, 375.75, 376, 368
12/04/2015, 376.25, 4819, 370, 376.5, 369.75
12/03/2015, 370.25, 11024, 363.75, 371.25, 361.25
12/02/2015, 364, 4274, 367, 367, 363.5
12/01/2015, 367, 9512, 367.75, 368.75, 364.5
11/30/2015, 365, 31892, 366, 366, 359.25
11/27/2015, 359.25, 69852, 365.25, 365.75, 358.75
11/25/2015, 366, 126550, 365, 366.5, 364
11/24/2015, 364.25, 137095, 365, 367.25, 364
11/23/2015, 367.25, 149963, 369, 367.5, 360
11/20/2015, 363.25, 168915, 363, 366.5, 362
11/19/2015, 364.25, 152262, 363, 365.5, 360.25
11/18/2015, 361.75, 218583, 361.5, 364.25, 358.5
11/17/2015, 362, 169656, 362, 362.5, 358.25
11/16/2015, 360, 121073, 360, 360.75, 357.25
11/13/2015, 358.25, 153132, 358, 362.25, 358
11/12/2015, 362, 238919, 361.5, 363.5, 359.25
11/11/2015, 362.25, 247137, 362, 363.5, 359.5
11/10/2015, 359, 406435, 359, 367.75, 356
11/09/2015, 366.75, 269080, 366.75, 375.5, 366.5
11/06/2015, 373, 198884, 373, 375.25, 370
11/05/2015, 374.5, 224226, 374, 379.75, 373.75
11/04/2015, 380.5, 221777, 380, 383.5, 376.5
11/03/2015, 380.5, 233026, 380, 382.25, 375.75
11/02/2015, 376.5, 157832, 376.5, 381.75, 376
10/30/2015, 382.25, 135612, 382, 383.75, 378.75
10/29/2015, 380, 132993, 379.5, 380.5, 375.5
10/28/2015, 376, 139284, 376.75, 380.75, 375.75
10/27/2015, 380, 194327, 380, 387.5, 379
10/26/2015, 384.5, 183706, 384.5, 385.75, 378
10/23/2015, 379.75, 159642, 379, 380, 375
10/22/2015, 378.25, 119373, 378, 383.5, 377.5
10/21/2015, 380.75, 195223, 380, 381, 375.5
10/20/2015, 376.75, 154070, 377, 377.75, 372
10/19/2015, 373, 107591, 372.75, 377.5, 372.5
10/16/2015, 376.75, 130516, 377, 378, 372.5
10/15/2015, 375.5, 113947, 375.5, 379.5, 375
10/14/2015, 379, 127521, 378.5, 386.75, 378.5
10/13/2015, 384.5, 134285, 384, 384.75, 379
10/12/2015, 380.75, 123792, 380.75, 385.25, 380.25
10/09/2015, 382.75, 252355, 382.75, 394.25, 381.5
10/08/2015, 391.25, 118254, 391, 395.75, 390.5
10/07/2015, 395.75, 136004, 395, 399.75, 393.75
10/06/2015, 398.25, 179472, 398, 399, 391.75
10/05/2015, 393.5, 103726, 393.25, 394, 388.75
10/02/2015, 389.25, 151911, 388.75, 391.5, 384
10/01/2015, 388.75, 122877, 387.75, 393, 385
09/30/2015, 387.75, 252532, 388, 394.5, 383.5
09/29/2015, 389, 117311, 389, 389.5, 385
09/28/2015, 386.75, 127401, 387, 392.5, 383.75
09/25/2015, 389, 128342, 388.5, 389.5, 381
09/24/2015, 381.5, 93318, 381, 384, 379.25
09/23/2015, 383.25, 88046, 382.5, 384.5, 379
09/22/2015, 380.5, 113398, 380.25, 384.5, 377.25
09/21/2015, 384.5, 138157, 384, 385.5, 375
09/18/2015, 377.25, 113972, 377.25, 382.5, 376.5
09/17/2015, 379.75, 89428, 380, 385.5, 379.25
09/16/2015, 386, 124073, 385.25, 391, 383
09/15/2015, 390.5, 127023, 390.5, 395, 388.75
09/14/2015, 379, 741, 377.5, 381, 375
09/11/2015, 374.5, 2234, 361.75, 374.75, 357
09/10/2015, 361.75, 2086, 356, 362.25, 355.5
09/09/2015, 356.5, 3799, 357.5, 359.25, 353.25
09/08/2015, 355, 4732, 354.25, 355.5, 351
09/04/2015, 349.5, 5723, 348, 350.75, 346.75
09/03/2015, 347.75, N/A, 347.75, 347.75, 347.75
09/02/2015, 354, N/A, 354, 354, 354
09/01/2015, 356, 13869, 359, 362.5, 355.25
08/31/2015, 363.75, 24782, 361.75, 365.25, 359.75
08/28/2015, 363.25, 114820, 362, 368.75, 362.25
08/27/2015, 363.75, 118412, 362, 367.25, 360.25
08/26/2015, 361.75, 62935, 361, 369, 361.5
08/25/2015, 365.5, 92260, 365.5, 375, 363.75
08/24/2015, 368.75, 141048, 368, 370.25, 354
08/21/2015, 365.25, 81827, 365.5, 372.5, 364
08/20/2015, 371, 82443, 370.5, 371.75, 367
